hall,date,meal,food_name,serving_size,calories,total_fat,saturated_fat,carbs,protein,label_url
south,12/1/2025,Breakfast,Roasted Beets & Peaches with Arugula,3 OZ,49,0.1g,0g,10g,0.7g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=151139*3
south,12/1/2025,Breakfast,Roasted Carrots and Wilted Spinach,3 oz,45,1.3g,0.1g,8.4g,1.2g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=150861*3
south,12/1/2025,Breakfast,Roasted Zucchini and Red Pepper,3 oz,22,0.8g,0g,3.4g,0.9g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=150144*3
south,12/1/2025,Breakfast,Rosemary Parmesan Mashed Potatoes,3 oz,225,5.5g,3.4g,36.5g,6.1g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=141136*3
south,12/1/2025,Breakfast,Saffron Basmati Rice,3 oz,101,0.5g,0g,21.9g,2.1g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=145130*3
south,12/1/2025,Breakfast,Semolina Pasta Cooked,4 oz,142,2.1g,0.1g,26.9g,4.5g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=115199*4
south,12/1/2025,Breakfast,Tomato Black Olive Spinach Farfalle Alfredo,4 oz,165,9g,4g,18g,4.7g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=115182*4
south,12/1/2025,Breakfast,Vegan Tomato Garlic Quinoa,3 oz,91,1.7g,0g,15.5g,2.7g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=100359*3
south,12/1/2025,Breakfast,Whole Wheat Pasta (Cooked),4 oz,293,5.6g,0.3g,56.9g,11.7g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=115200*4
south,12/1/2025,Breakfast,Crispy Pan Buffalo Chicken Pizza,1 slice,258,13.7g,5.6g,21.7g,18.4g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=117119*1
south,12/1/2025,Breakfast,Pan BBQ Brisket Pizza,1 slice,222,12.2g,5.5g,13.9g,17.8g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=117120*1
south,12/1/2025,Breakfast,Pan Cheese Pizza,1 slice,172,9.4g,4.4g,13.4g,12.1g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=117116*1
south,12/1/2025,Breakfast,Pan Italian Sausage Pizza,1 slice,194,11.5g,5.4g,13.4g,12.9g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=117118*1
south,12/1/2025,Breakfast,Pan Pepperoni Pizza,1 slice,303,18.3g,8.5g,20g,19.7g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=117115*1
south,12/1/2025,Breakfast,Pan Vegetable Pizza,1 slice,176,9.4g,4.4g,14.1g,12.4g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=117117*1
south,12/1/2025,Breakfast,Artichoke Hearts,1 oz,19,0.1g,0g,4.4g,1.1g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090406*1
south,12/1/2025,Breakfast,Baba Ghanoush,2 oz,98,5.8g,0.4g,9.5g,2.6g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090226*2
south,12/1/2025,Breakfast,Balsamic Dressing,1 oz,57,4.7g,0.5g,3.8g,0g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090279*1
south,12/1/2025,Breakfast,Balsamic Vinegar,1 oz,25,0g,0g,4.8g,0.1g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=903370*1
south,12/1/2025,Breakfast,Beets,1 oz,14,0g,,3.4g,0.2g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090249*1
south,12/1/2025,Breakfast,Black Beans,1 oz,28,0g,0g,3.8g,1.4g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090210*1
south,12/1/2025,Breakfast,Blue Cheese Dressing,1 oz,151,16.1g,3.3g,0.9g,0.9g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090297*1
south,12/1/2025,Breakfast,Broccoli,1 oz,9,0.1g,0g,1.5g,0.8g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090251*1
